rank,distance_metric,placement_mode,placement_semantics,candidate_source,time_bucket,time_seconds,coordinates,lat,lon,nearest_building_dist_m,newly_covered_buildings,newly_covered_people_est
1,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.708718,34.992216",31.70871843298546,34.99221602872054,4.25,26,182
2,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.748997,34.988543",31.748997075272,34.988542542745584,20.64,41,287
3,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.706587,34.992170",31.706587184878,34.992169999994175,30.28,17,119
4,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.725556,34.995869",31.72555556189116,34.995868603224075,43.25,16,112
5,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.746825,34.989741",31.746824980461763,34.98974092430696,9.41,24,168
6,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.709937,34.994448",31.709937496080585,34.99444838689155,15.25,27,189
7,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.736898,34.985308",31.73689766110361,34.985307793334975,40.22,22,154
8,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.704004,34.992562",31.704004243625526,34.99256179709111,34.18,18,126
9,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.701036,34.993081",31.70103577945125,34.99308079453072,33.68,17,119
10,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.724096,34.995339",31.724095779323243,34.99533904910887,31.29,17,119
11,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.714680,34.991002",31.714680388725753,34.99100178881608,24.21,22,154
12,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.703262,34.989483",31.703261911264082,34.98948331807963,22.3,12,84
13,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.742426,34.985042",31.742426171927317,34.98504244659402,15.86,15,105
14,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.714653,34.998266",31.714652982512096,34.9982658724656,44.31,32,224
15,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.751844,34.989285",31.75184357295035,34.989285133170625,24.91,41,287
