rank,distance_metric,placement_mode,placement_semantics,candidate_source,time_bucket,time_seconds,coordinates,lat,lon,nearest_building_dist_m,newly_covered_buildings,newly_covered_people_est
1,graph,cluster,area_center,cluster_candidates,5min,300,"31.743329,34.976479",31.743328779924617,34.9764787439478,12.49,34,238
2,graph,cluster,area_center,cluster_candidates,5min,300,"31.738190,34.949482",31.738189507897573,34.94948236492858,0.0,36,252
3,graph,cluster,area_center,cluster_candidates,5min,300,"31.744302,34.978204",31.74430157762246,34.97820381081167,21.88,32,224
4,graph,cluster,area_center,cluster_candidates,5min,300,"31.748328,34.987911",31.748327517156223,34.987910986757505,15.0,32,224
5,graph,cluster,area_center,cluster_candidates,5min,300,"31.742348,34.977493",31.74234761615056,34.977493201148896,9.52,39,273
6,graph,cluster,area_center,cluster_candidates,5min,300,"31.753231,34.993779",31.753231293117743,34.993778850558186,3.48,63,441
7,graph,cluster,area_center,cluster_candidates,5min,300,"31.739115,34.977986",31.73911453273242,34.977985837646244,13.63,28,196
8,graph,cluster,area_center,cluster_candidates,5min,300,"31.750512,34.979429",31.750511939010128,34.97942917940715,12.11,14,98
9,graph,cluster,area_center,cluster_candidates,5min,300,"31.743546,34.975175",31.74354551019446,34.97517461030126,18.29,40,280
10,graph,cluster,area_center,cluster_candidates,5min,300,"31.751239,34.980951",31.751239053587078,34.980950587155434,11.56,36,252
11,graph,cluster,area_center,cluster_candidates,5min,300,"31.739173,34.987276",31.739173095037383,34.98727559280494,18.59,27,189
12,graph,cluster,area_center,cluster_candidates,5min,300,"31.748313,34.997838",31.74831302515923,34.99783841437124,11.07,36,252
13,graph,cluster,area_center,cluster_candidates,5min,300,"31.741196,34.979000",31.74119617042793,34.97899973971974,12.56,37,259
14,graph,cluster,area_center,cluster_candidates,5min,300,"31.737888,34.978488",31.73788773012546,34.9784881527888,28.55,123,861
15,graph,cluster,area_center,cluster_candidates,5min,300,"31.747936,34.979695",31.747935550231812,34.97969461164464,14.97,33,231
16,graph,cluster,area_center,cluster_candidates,5min,300,"31.753984,34.988918",31.753984296429852,34.988917948963426,9.81,32,224
17,graph,cluster,area_center,cluster_candidates,5min,300,"31.739386,34.988602",31.739385562062697,34.98860189626822,29.28,26,182
18,graph,cluster,area_center,cluster_candidates,5min,300,"31.752994,34.982150",31.75299376906102,34.98214972842258,11.45,23,161
19,graph,cluster,area_center,cluster_candidates,5min,300,"31.749590,34.998237",31.749589962999707,34.99823659989006,11.09,30,210
20,graph,cluster,area_center,cluster_candidates,5min,300,"31.708317,34.992467",31.708317381681407,34.99246696853234,28.44,12,84
21,graph,cluster,area_center,cluster_candidates,5min,300,"31.738566,34.983509",31.738565560707787,34.98350945140652,20.29,25,175
22,graph,cluster,area_center,cluster_candidates,5min,300,"31.750607,34.997222",31.750607483207144,34.99722156944159,14.77,32,224
23,graph,cluster,area_center,cluster_candidates,5min,300,"31.753365,34.987643",31.75336471224087,34.987642704959256,12.73,35,245
24,graph,cluster,area_center,cluster_candidates,5min,300,"31.746934,34.988654",31.746934376813307,34.988653760380316,14.9,49,343
25,graph,cluster,area_center,cluster_candidates,5min,300,"31.760237,34.994591",31.76023721963436,34.99459091634519,13.82,16,112
26,graph,cluster,area_center,cluster_candidates,5min,300,"31.745415,34.989188",31.745415297766375,34.98918819748424,11.34,33,231
27,graph,cluster,area_center,cluster_candidates,5min,300,"31.736444,34.983439",31.736444231122373,34.98343892446184,13.03,35,245
28,graph,cluster,area_center,cluster_candidates,5min,300,"31.748083,34.986571",31.748082836794435,34.98657107367295,12.68,36,252
29,graph,cluster,area_center,cluster_candidates,5min,300,"31.739673,34.980221",31.7396730196881,34.98022106458662,8.58,27,189
30,graph,cluster,area_center,cluster_candidates,5min,300,"31.707737,34.981499",31.707736559199333,34.9814992413536,6.45,14,98
31,graph,cluster,area_center,cluster_candidates,5min,300,"31.739637,34.975072",31.739636623543646,34.97507162312486,11.45,13,91
32,graph,cluster,area_center,cluster_candidates,5min,300,"31.735335,34.956753",31.735334963625217,34.956753370395155,0.0,5,35
33,graph,cluster,area_center,cluster_candidates,5min,300,"31.727052,34.962201",31.727052415361232,34.96220116853471,0.0,5,35
34,graph,cluster,area_center,cluster_candidates,5min,300,"31.708108,35.002237",31.708108493290748,35.0022373698626,11.66,5,35
35,graph,cluster,area_center,cluster_candidates,5min,300,"31.709263,34.980155",31.70926307164518,34.98015507904606,20.99,10,70
