rank,distance_metric,placement_mode,placement_semantics,candidate_source,time_bucket,time_seconds,coordinates,lat,lon,nearest_building_dist_m,newly_covered_buildings,newly_covered_people_est
1,graph,cluster,area_center,cluster_candidates,5min,300,"31.724682,34.975951",31.724681842511377,34.97595086901783,12.74,25,175
2,graph,cluster,area_center,cluster_candidates,5min,300,"31.747574,34.984078",31.747573762053282,34.98407758174942,44.24,40,280
3,graph,cluster,area_center,cluster_candidates,5min,300,"31.715119,34.982270",31.7151185811329,34.98226993547363,24.3,17,119
4,graph,cluster,area_center,cluster_candidates,5min,300,"31.712927,34.987154",31.712926536457033,34.987154153033345,41.24,18,126
5,graph,cluster,area_center,cluster_candidates,5min,300,"31.698418,34.975140",31.698418357226924,34.97514018453056,58.55,25,175
6,graph,cluster,area_center,cluster_candidates,5min,300,"31.749891,34.979545",31.74989112652656,34.97954466441821,11.29,13,91
7,graph,cluster,area_center,cluster_candidates,5min,300,"31.754046,34.992007",31.75404551903521,34.99200709055024,23.44,30,210
8,graph,cluster,area_center,cluster_candidates,5min,300,"31.713373,34.999061",31.71337295308298,34.99906117039668,54.15,23,161
9,graph,cluster,area_center,cluster_candidates,5min,300,"31.718845,34.986742",31.71884486214219,34.98674152859884,5.33,9,63
10,graph,cluster,area_center,cluster_candidates,5min,300,"31.723161,34.989229",31.723161154692743,34.989228658038996,13.88,8,56
11,graph,cluster,area_center,cluster_candidates,5min,300,"31.708531,34.998459",31.708531238430776,34.99845868599555,15.28,20,140
12,graph,cluster,area_center,cluster_candidates,5min,300,"31.735895,34.990962",31.73589492177527,34.990961946997665,26.51,17,119
13,graph,cluster,area_center,cluster_candidates,5min,300,"31.708858,34.996171",31.70885759077703,34.99617057572106,24.78,24,168
14,graph,cluster,area_center,cluster_candidates,5min,300,"31.745199,34.990460",31.745198877800973,34.9904596240279,24.49,25,175
15,graph,cluster,area_center,cluster_candidates,5min,300,"31.748741,34.986866",31.74874114816354,34.98686605932953,25.81,22,154
16,graph,cluster,area_center,cluster_candidates,5min,300,"31.712559,34.963455",31.712559131914,34.963455391248424,29.11,7,49
17,graph,cluster,area_center,cluster_candidates,5min,300,"31.712670,34.991136",31.71267029252146,34.99113562212379,35.28,23,161
18,graph,cluster,area_center,cluster_candidates,5min,300,"31.739591,34.994356",31.739591081616368,34.99435567687438,32.8,37,259
19,graph,cluster,area_center,cluster_candidates,5min,300,"31.705469,34.981565",31.705468880554342,34.98156544844882,37.77,13,91
20,graph,cluster,area_center,cluster_candidates,5min,300,"31.750330,34.999261",31.75033006854088,34.999261220464895,18.58,23,161
21,graph,cluster,area_center,cluster_candidates,5min,300,"31.736041,34.980574",31.736041245357548,34.98057363709932,16.78,7,49
22,graph,cluster,area_center,cluster_candidates,5min,300,"31.751067,34.992198",31.751067337499286,34.992197500244636,25.88,26,182
23,graph,cluster,area_center,cluster_candidates,5min,300,"31.704541,35.001037",31.704541116240964,35.00103683141733,73.08,11,77
24,graph,cluster,area_center,cluster_candidates,5min,300,"31.714956,34.995521",31.714955592924277,34.9955208945667,22.97,15,105
25,graph,cluster,area_center,cluster_candidates,5min,300,"31.748835,34.979853",31.74883529911315,34.97985335003031,33.58,30,210
26,graph,cluster,area_center,cluster_candidates,5min,300,"31.713040,34.967730",31.713039578778268,34.9677299983009,61.39,13,91
27,graph,cluster,area_center,cluster_candidates,5min,300,"31.741227,34.977779",31.74122723628465,34.97777904413974,8.06,14,98
28,graph,cluster,area_center,cluster_candidates,5min,300,"31.738243,34.997306",31.738242574492155,34.99730569827551,39.24,16,112
29,graph,cluster,area_center,cluster_candidates,5min,300,"31.741132,34.983944",31.741132384198547,34.98394369429554,8.6,16,112
30,graph,cluster,area_center,cluster_candidates,5min,300,"31.710514,35.002788",31.710513599438414,35.002788248112275,34.97,6,42
31,graph,cluster,area_center,cluster_candidates,5min,300,"31.711717,34.996526",31.71171716031317,34.99652618611846,60.94,30,210
