rank,distance_metric,placement_mode,placement_semantics,candidate_source,time_bucket,time_seconds,coordinates,lat,lon,nearest_building_dist_m,newly_covered_buildings,newly_covered_people_est
1,graph,cluster,area_center,cluster_candidates,5min,300,"31.742291,34.987134",31.74229062195039,34.98713382939324,14.67,14,98
2,graph,cluster,area_center,cluster_candidates,5min,300,"31.744760,34.992549",31.744760106973317,34.99254909960336,7.69,11,77
3,graph,cluster,area_center,cluster_candidates,5min,300,"31.750118,34.980686",31.750118182693832,34.98068621514233,19.5,17,119
4,graph,cluster,area_center,cluster_candidates,5min,300,"31.741895,34.993242",31.741895129110258,34.993241811592796,57.93,11,77
5,graph,cluster,area_center,cluster_candidates,5min,300,"31.741303,34.979615",31.741302729584625,34.979614703214395,69.31,21,147
6,graph,cluster,area_center,cluster_candidates,5min,300,"31.752049,34.984279",31.75204918390318,34.98427874844444,18.38,15,105
7,graph,cluster,area_center,cluster_candidates,5min,300,"31.739905,34.979148",31.73990486439556,34.97914786886508,23.05,11,77
8,graph,cluster,area_center,cluster_candidates,5min,300,"31.753583,34.991256",31.75358344335803,34.991256375486145,53.19,22,154
9,graph,cluster,area_center,cluster_candidates,5min,300,"31.741699,34.994691",31.741698832790803,34.99469123769889,26.33,6,42
10,graph,cluster,area_center,cluster_candidates,5min,300,"31.739861,34.993626",31.73986113320856,34.99362561216747,74.72,23,161
11,graph,cluster,area_center,cluster_candidates,5min,300,"31.748038,34.981686",31.748037974725136,34.98168605299387,61.28,15,105
12,graph,cluster,area_center,cluster_candidates,5min,300,"31.726830,34.992069",31.726829975655527,34.99206866019898,56.23,11,77
