rank,distance_metric,placement_mode,placement_semantics,candidate_source,time_bucket,time_seconds,coordinates,lat,lon,nearest_building_dist_m,newly_covered_buildings,newly_covered_people_est
1,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.724664,34.975701",31.724664016994357,34.97570057027625,25.59,16,112
2,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.745004,34.975637",31.745003840602074,34.97563664094341,12.88,40,280
3,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.739281,34.980852",31.739280916167733,34.98085161153463,26.87,35,245
4,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.737537,34.948802",31.737536876918327,34.94880183778812,23.57,12,84
5,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.728508,34.995066",31.728508341200932,34.99506630369805,10.49,31,217
6,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.734544,34.951319",31.7345440670056,34.951319090582516,28.32,12,84
7,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.709066,34.992438",31.70906624523489,34.99243832989655,8.49,45,315
8,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.743183,34.980858",31.743183177635558,34.9808580721184,43.78,20,140
9,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.705955,34.988887",31.705955171649947,34.988887443293905,32.3,25,175
10,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.724640,34.993062",31.72464036246482,34.9930622953842,23.55,19,133
11,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.750763,34.981796",31.75076320572258,34.981796379311284,18.17,43,301
12,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.729979,34.958096",31.72997914203395,34.95809612073374,44.55,5,35
13,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.707969,34.999019",31.70796904913722,34.99901878440187,27.04,35,245
14,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.704849,35.000916",31.704848631209547,35.00091586321542,50.22,11,77
15,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.707452,34.962306",31.70745199431037,34.96230571124144,34.48,11,77
16,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.739626,34.950251",31.739626105871473,34.95025144946017,55.97,8,56
17,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.703594,34.973660",31.703594335766056,34.973659616187064,12.52,13,91
18,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.716747,34.994500",31.716747378565692,34.99450048790986,17.43,24,168
19,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.713207,34.990093",31.713206881957664,34.99009276421779,15.18,38,266
20,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.739927,34.993026",31.739927245494137,34.993025739959236,16.4,38,266
21,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.743100,34.998337",31.743100208028203,34.99833650011541,6.35,21,147
22,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.747092,34.987408",31.74709179014059,34.98740757629955,26.78,48,336
23,euclidean,cluster,area_center,cluster_candidates,5min,300,"31.723141,34.990873",31.72314112382007,34.9908725660179,19.22,36,252
